ID,TITLE,HOAX_TEXT,SENTIMENT_LABEL,SENTIMENT_SCORE,ENTITIES_MENTIONED
3756,Video Najwa Shihab Mempromosikan Situs Judi,"“🟢 Cuan Aa Raffi | https://heylink.me/wededufan365/ Info Eksklusif dari Mata Natwa dengan Aa Raffi | By PG Soft Today”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Dimanipulasi: Ketika informasi atau gambar yang asli dimanipulasi untuk menipu”.",negative,0.9509769082069397,Raffi Ahmad
3747,SURAT KETERANGAN LOLOS TAHAPAN SELEKSI PT FREEPORT INDONESIA,“KepadaYth : Para Calon Karyawan PT FREEPORT INDONESIA Di – Tempat Sehubungan dengan recruitment karyawan PT. FREEPORT INDONESIA 2023 untuk wilayah penempatan kerja sesuai domisili calon karyawan PT FREEPORT INDONESIA di seluruh Indonesia. Maka kami beritahukan bahwa dengan ini saudara dinyatakan Lulus seleksi dan wajib mengikuti tes selanjutnya sampai tahap akhir sesuai dengan jadwal berikut:”,neutral,0.9968733191490173,
3748,AKUN WHATSAPP PJ BUPATI BOGOR ASMAWA TUSEPU,“Assalamualaikum Selamat sore Pak DIRUT TOHAGA Hormat kami PJ BUPATI BOGOR”,neutral,0.9811241030693054,
3732,"“Saya king kevin,Khusus 160 orang tercepat yang mengucapkan {HALO KING} aku transfer 2-5 juta secara acak”","“Saya king kevin,Khusus 160 orang tercepat yang mengucapkan {HALO KING} aku transfer 2-5 juta secara acak”",neutral,0.8556646108627319,Raffi Ahmad
3726,AKUN WHATSAPP BUPATI PENAJAM MEMBAGIKAN SEJUMLAH UANG KE YAYASAN PAUD,A: “Selamat siang Maaf apa betul saat ini saya sdg terhubung dengan pengurus PAUD MERPATI B: “iya pak” A: “Perkenalkan saya Makmur Marbun selaku Pj Bupati Kabupaten Penajam Paser Utara Tujuan saya menghubungi saat ini terkait pembagian donasi dari pemkab PENAJAM paser utama dan di tujukan ke tempat Paud khusus nya yg masih masuk wilayah Penajam paser utara Saat ini Paud Merpati masuk dalam daftar penerima donasi”,neutral,0.9896183609962463,
3707,Akun WhatsApp Kapolresta Magelang Mustofa,“Assalamualaikum”,positive,0.9884662628173828,
3708,Akun WhatsApp Kadisdik Kabupaten Tanah Laut Abdillah,“Assalamualaikum Pak Apa khbr”,neutral,0.7211592197418213,
3711,“Akun Facebook Mohdar Yanlua mau berinfaq untuk pembangunan masjid”,“Akun Facebook Mohdar Yanlua mau berinfaq untuk pembangunan masjid”,neutral,0.9989859461784363,
3693,AKUN WHATSAPP KAPOLRES ACEH TIMUR MEMINTA SEJUMLAH BANTUAN,A: Di save ini wa saya. B: Ini siapa? A: Ini saya Pak Nova.,neutral,0.8489709496498108,
3689,AKUN FACEBOOK KAPOLDA KALSEL “WINARTO SILVANA”,(tidak terdapat narasi),negative,0.9625987410545349,
3692,SURAT PEMBERITAHUAN PAJAK PENYAMPAIAN SPT TAHUNAN OLEH DITJEN PAJAK,SURAT PEMBERITAHUAN PAJAK PENYAMPAIAN SPT TAHUNAN OLEH DITJEN PAJAK,negative,0.9958862662315369,
3674,"“Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI”","“Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI”",neutral,0.9958971738815308,Bank BNI
